호선,역번호,출발역,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,25시
2호선,230,신림,65,49.85,78.9,78.9,74.45,51.7,42.15,41.35,38.7,33.75,31.6,35.2,34.9,45.7,43.4,31.25,28.6,29.4,26.75,16.4,6.3
2호선,231,신대방,39.7,25.35,44.8,44.8,35.05,25.05,24.35,28.65,36.2,36.35,41.95,52,58.45,77.7,63,38.75,40.85,50.45,33.2,15.25,8.9
2호선,231,신대방,49.2,40,59.95,59.95,55.35,41.9,33.8,33,33.35,29.2,28.6,32.65,34.95,49.2,51.6,33.75,33.7,36.05,33.9,22.4,10.6
2호선,232,구로디지털단지,59,32.05,53,53,38.25,27.65,27.7,31.65,40.9,38.95,42.75,56.35,66.3,87.2,67.7,39.35,39.7,48.15,32.25,13.9,7.4
2호선,232,구로디지털단지,41.2,36.75,55.25,55.25,48.8,38.75,31.55,32.05,32.6,29.05,29.8,34.85,36.9,54.85,58.5,37.7,40.7,40.45,37.1,26.95,12.9
2호선,233,대림,84.3,42.4,58.9,58.9,43.9,30.05,31.55,34.35,43.25,40.05,43.2,54.65,64.2,84.9,64.2,36,34.6,41.75,27.2,12.75,6.2
2호선,233,대림,33.5,34.25,54.6,54.6,52.6,42.7,33,33.15,34.05,30.9,33.25,37.3,40.6,55.8,63.7,42,47.6,47.95,43.45,33.45,16.1
2호선,234,신도림,26.6,34.4,71.95,71.95,62.5,42.4,38.65,38.35,47.05,42.75,40.65,44.9,50.5,56.45,54.3,26.9,24.55,30.15,19.25,10.35,5.4
2호선,234,신도림,25.7,30.45,48.1,48.1,40.55,31.4,26.2,34.1,34.25,31.55,35.45,40.2,44.25,64,64.3,35.4,49.05,47.25,45.3,19.1,6.6
2호선,235,문래,26.4,33.9,67.65,67.65,66.85,50.4,44.95,42.1,47.2,42.9,40.85,45.2,53.65,57.25,57.75,29.5,30.8,31.5,30.65,14.55,5.2
2호선,235,문래,23.9,37.75,61.1,61.1,28.3,22.7,23,29.35,33.65,31.15,37.85,47.95,63.3,87.2,82.85,47.35,68.4,65.75,59.75,22.4,8.1
2호선,236,영등포구청,27.8,32.75,68,68,64.25,48.55,46.25,44.5,46.05,42,39.95,42.65,53,58.6,55.45,27.9,28.75,29.85,27.1,13.05,4.8
2호선,236,영등포구청,22.9,36.15,60.95,60.95,30,23.65,23.3,29.1,33.6,31.25,37.75,47.8,61.85,83.45,83.05,45.25,66.85,65.9,54.9,22.15,8.7
2호선,237,당산,27.4,32.25,65.5,65.5,67.95,51.95,49.85,47.95,49.25,44.2,41.95,43.4,55.05,62.2,55.45,28.15,28.85,28.6,25.95,12.75,4.9
2호선,237,당산,18.9,30.75,56.05,56.05,26.55,21.75,20.55,26.65,31.95,30.15,36.4,46.3,59.6,76.9,81.7,46.9,69.05,70.8,58.7,24.5,10.7
2호선,238,합정,25.2,30.85,60.05,60.05,61.25,48.2,47.65,44.2,46.5,41.25,37.05,36.15,43.45,50.15,41.75,22.15,23.2,23.9,21.85,10.55,4.3
2호선,238,합정,23.7,29.9,58.25,58.25,25.45,21.2,21.2,26.6,33.55,31.75,37.85,51.6,60.9,81.6,81.65,51.8,74.6,74.7,57.55,27.6,12.2
2호선,239,홍대입구,21.2,32.4,65.2,65.2,59.6,44.55,49.15,44.3,45.6,41,37.1,36.95,43.7,44.25,36.9,22.6,27.9,33.5,29.5,16.05,4.6
2호선,239,홍대입구,13.8,19.65,37.75,37.75,18.95,16.95,19.45,24.5,30.7,30.3,36.8,49.1,58.5,77.15,75.7,49.65,66.8,67.35,52.95,24.7,12.3
2호선,240,신촌(지하),21.9,31.5,63.25,63.25,57.05,41.55,47.4,42.6,44.1,40.7,38.9,39.7,46.75,45.6,35.9,24.05,29.65,38.65,33.2,17.65,3.7
2호선,240,신촌(지하),14,15.3,29.55,29.55,19.05,19.75,22.25,29.85,36.35,34.95,42.1,55.45,64.65,87.5,83.75,52.95,65.65,63.1,47.2,21.7,9.5
2호선,241,이대,22.4,31.2,63.3,63.3,54.5,39.25,44.95,40.2,44.15,42.15,40.35,40.75,50.9,46.65,37.8,25,30.15,38.95,32.6,18.65,3.1
2호선,241,이대,12.8,14.75,30.8,30.8,22.25,23.15,24.8,31.35,37,34.85,40.4,52.7,62.25,86.85,83.5,53.05,59.2,56.45,43.2,20.35,10
2호선,242,아현,19.4,33.55,64.65,64.65,54.35,40.05,45.9,41,44.7,42.5,40.65,41.1,51.6,46.6,37.25,24.55,29.7,37.3,33.6,19.15,3.9
2호선,242,아현,11.8,14.5,31.25,31.25,25.85,26.1,27.25,34,37.35,35.45,41.55,50.85,60.3,89.5,84.45,52.7,59.2,58.05,42.8,21.55,11.1
