역번호,역주변,호선,역명
203,중부경찰서,5호선,강동(하남검단산)
203,청계천,5호선,길동
203,기계공구상가,5호선,길동
203,패스트파이브 을지로점,5호선,굽은다리
203,서울고용복지플러스센터,5호선,굽은다리
203,수표동,5호선,명일
203,인현동,5호선,명일
203,충무로방면,5호선,고덕
203,영락교회,5호선,고덕
203,영락교회,5호선,상일동
203,기업은행 본점,5호선,상일동
204,청계천 가는 길,5호선,둔촌동
204,을지로4가우체국,5호선,둔촌동
204,방산시장,5호선,올림픽공원(한국체대)
204,대우건설,5호선,올림픽공원(한국체대)
204,BC카드,5호선,방이
204,입정동,5호선,방이
204,을지로3가,5호선,오금
204,조명기구상가,5호선,오금
204,산림동,5호선,개롱
204,청계천4가,5호선,개롱
204,청계천4가,5호선,거여
204,종로세운상가방면,5호선,거여
204,미싱상가,5호선,마천
204,청계천5가,5호선,마천
204,광장시장,5호선,강일
204,방산시장,5호선,강일
204,주교동,5호선,미사
204,청계천4가,5호선,미사
204,미싱상가,5호선,하남풍산
204,방산동,5호선,하남풍산
204,평화시장,5호선,하남시청
204,오장동,5호선,하남시청
204,중부시장,5호선,하남검단산
204,충무로4.5가,5호선,하남검단산
204,가구상가,5호선,강동(마천)
204,기업은행,6호선,응암
204,인현동2가,6호선,응암
204,중구청,6호선,역촌
204,덕수중학교,6호선,불광
204,청계천 가는 길,6호선,독바위
205,동대문디자인플라자(DDP),6호선,연신내
205,성동글로벌경영고등학교,6호선,구산
205,광희문,6호선,새절
205,청계천 가는 길,6호선,새절
205,청계천 가는 길,6호선,증산
205,국립중앙의료원,6호선,증산
205,오장동방면,6호선,디지털미디어시티
205,충무로5가,6호선,디지털미디어시티
205,오장동방면,6호선,월드컵경기장
205,광희2동,6호선,월드컵경기장
205,장충체육관방면,6호선,마포구청
205,장충단길,6호선,마포구청
205,퇴계로방면,6호선,망원
205,광희동1가,6호선,망원
205,광희동2가,6호선,합정
205,신당동방면,6호선,합정
205,중구청방면,6호선,상수
205,중부시장,6호선,상수
205,동대문역사문화공원,6호선,광흥창
205,중부소방서,6호선,광흥창
205,동대문     ,6호선,대흥
205,서울관광안내소,6호선,대흥
205,신·동평화시장 ,6호선,공덕
205,광희초등학교      ,6호선,공덕
205,한양중.공업고등학교,6호선,효창공원앞
205,서울시티투어버스타는곳,6호선,효창공원앞
206,황학치안센터,6호선,삼각지
206,황학동 주민센터,6호선,삼각지
206,황학아크로타워,6호선,녹사평
206,왕십리방면,6호선,녹사평
206,서울 중구 장애인 복지관,6호선,이태원
206,신당1동 주민센터,6호선,이태원
206,중구보건소,6호선,한강진
206,중부소방서,6호선,한강진
206,충무아트센터,6호선,버티고개
206,흥인동우체국,6호선,버티고개
206,신당역 6호선 E/L,6호선,약수
206,서울실용음악학교,6호선,약수
206,금호베스트빌아파트,6호선,청구
206,중부소방서,6호선,청구
206,무학봉체육관,6호선,신당
206,성동고등학교,6호선,신당
206,신당초등학교,6호선,동묘앞
206,신당5동 주민센터,6호선,동묘앞
206,신당5동,6호선,창신
206,현대아파트,6호선,창신
206,왕십리 자이아파트,6호선,보문
206,래미안신당 하이베르아파트,6호선,보문
206,어울림도서관,6호선,안암
206,신당파출소,6호선,안암
206,성동글로벌경영고등학교,6호선,고려대
206,광희초등학교,6호선,고려대
206,성동공업고등학교,6호선,월곡
206,충무아트센터,6호선,월곡
206,청계천,6호선,상월곡
206,중앙시장,6호선,상월곡
206,중앙시장,6호선,돌곶이
206,서울 중구 건강가정 다문화 가족지원센터,6호선,돌곶이
206,박정희대통령가옥,6호선,석계
206,중구보건소,6호선,석계
206,청계천,6호선,태릉입구
206,한국청소년상담원,6호선,태릉입구
206,신당1동,6호선,화랑대
206,서울지방경찰청 기동본부,6호선,화랑대
206,성동공업고등학교,6호선,봉화산
207,하왕십리동 ,6호선,봉화산
207,한진그랑빌아파트,6호선,신내
207,금호베스트빌아파트,6호선,신내
207,숭신초등학교,6호선,응암S
207,(재)한국기원,7호선,장암
207,청계천방면,7호선,장암
207,사회복지법인 화성영아원,7호선,도봉산
207,양지사거리,7호선,도봉산
207,교보생명빌딩 성동사옥,7호선,수락산
207,성동구다문화가족지원센터,7호선,수락산
207,왕십리자이아파트,7호선,마들
207,왕십리KCC스위첸아파트,7호선,마들
207,센트라스,7호선,노원
207,도선고등학교,7호선,노원
207,시립동부노인전문요양센터,7호선,중계
207,하왕치안센터,7호선,중계
207,왕십리파출소,7호선,하계
207,장애인치과병원,7호선,하계
207,성동보건소,7호선,공릉
207,무학현대아파트,7호선,공릉
207,텐즈힐,7호선,태릉입구
207,풍림아이원아파트,7호선,태릉입구
207,서울동인병원,7호선,먹골
207,한국여성바둑연맹,7호선,먹골
207,왕십리도선동주민센터,7호선,중화
207,왕십리우체국,7호선,중화
207,한국예술고교,7호선,상봉
207,무학초등학교,7호선,상봉
207,왕십리2동주민센터,7호선,면목
207,한신무학아파트,7호선,면목
207,성동고교,7호선,사가정
207,청계벽산아파트,7호선,사가정
208,한국예술고등학교,7호선,용마산
208,삼부아파트,7호선,용마산
208,두산아파트,7호선,중곡
208,대한적십자사 서울지사,7호선,중곡
208,제일시장,7호선,군자
208,행당 1 파출소,7호선,군자
208,행당전화국,7호선,어린이대공원
208,동부수도사업소,7호선,어린이대공원
208,행당시장,7호선,건대입구
208,왕십리 민자역사(코레일),7호선,건대입구
208,왕십리119안전센터,7호선,자양(뚝섬한강공원)
208,성동보건소,7호선,자양(뚝섬한강공원)
208,서울연세병원,7호선,청담
208,소월아트홀,7호선,청담
208,성동구의회,7호선,강남구청
208,한양대학교병원,7호선,강남구청
208,행당1동사무소,7호선,학동
208,무학중학교,7호선,학동
208,성동문화회관,7호선,논현
208,성동문화정보센터,7호선,논현
208,성동우체국,7호선,반포
208,왕십리 2 동,7호선,반포
208,교통안전센터,7호선,고속터미널
208,교보빌딩,7호선,고속터미널
208,무학여자고등학교,7호선,내방
208,도선동,7호선,내방
208,성동경찰서,7호선,이수
208,한국전력,7호선,이수
208,행당사거리,7호선,남성
208,성동경찰서,7호선,남성
208,한양사대부속중.고등학교,7호선,숭실대입구
208,동마중학교,7호선,숭실대입구
208,성동구청,7호선,상도
209,성동교,7호선,상도
209,한양여자대학,7호선,장승배기
209,뚝섬방면,7호선,장승배기
209,올림픽체육관,7호선,신대방삼거리
209,한양초등학교,7호선,신대방삼거리
209,한양대학교정문,7호선,보라매
209,사근동주민센터,7호선,보라매
209,한양시장,7호선,신풍
209,한양대학교본관,7호선,신풍
209,덕수고등학교,7호선,대림
209,행당중학교,7호선,대림
209,사근동,7호선,남구로
209,한양지구대,7호선,남구로
210,한강사업본부,7호선,가산디지털단지
210,"경일중,고등학교",7호선,가산디지털단지
210,서울뚝섬 우체국,7호선,철산
210,우성아파트,7호선,철산
210,서울숲,7호선,광명사거리
210,성수우방2차아파트,7호선,광명사거리
210,태천해오름 아파트,7호선,천왕
210,뚝섬현대아파트,7호선,천왕
210,경일초등학교,7호선,온수
210,근로복지공단 서울성동지사,7호선,온수
210,성동구민체육센터,8호선,암사역사공원
210,한국방송통신대학교서울제1지역대학,8호선,암사역사공원
210,성수우방1차아파트,8호선,암사
210,뚝섬중앙하이츠빌아파트,8호선,암사
210,"성수중,고등학교",8호선,천호
210,성동교,8호선,천호
210,경동초등학교,8호선,강동구청
210,성수1가1동 주민센터,8호선,강동구청
210,성수1가1동,8호선,몽촌토성
210,성수1가2동 주민센터,8호선,몽촌토성
210,성수현대아파트,8호선,잠실
210,성수2차대우아파트,8호선,잠실
210,성수쌍용아파트,8호선,석촌
210,"성수아트홀,문화복지회관",8호선,석촌
210,재향군인회 평생교육원,8호선,송파
211,롯데캐슬파크,8호선,송파
211,현대아이파크,8호선,가락시장
211,한국농아인협회,8호선,가락시장
211,성수우방2차아파트,8호선,문정
211,아침이비인후과,8호선,문정
211,성수수제화타운,8호선,장지
211,성수우성2차아파트,8호선,장지
